group,sp,id,Mtag,tran,dist,trt,side,tag,loc,status,date_processed,initials,ic,iw,vs,is,ih,bh,vw,notes_trait
A,cal,4,107,T2,2,C,L,1490,loc4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,4,107,T2,2,NR,R,1489,loc1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,4,107,T2,2,NR,R,1489,loc2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,4,107,T2,2,NR,R,1489,loc3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,4,107,T2,2,NR,R,1489,loc4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,5,133,home,0,C,L,1424,loc1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,5,133,home,0,C,L,1424,loc2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,5,133,home,0,C,L,1424,loc3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,5,133,home,0,C,L,1424,loc4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,5,133,home,0,NR,R,1423,loc1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,5,133,home,0,NR,R,1423,loc2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,5,133,home,0,NR,R,1423,loc3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,5,133,home,0,NR,R,1423,loc4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,5,133,T1,0.5,C,L,1467,loc1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,5,133,T1,0.5,C,L,1467,loc2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,5,133,T1,0.5,C,L,1467,loc3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,5,133,T1,0.5,C,L,1467,loc4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,5,133,T1,0.5,NR,R,1468,loc1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,5,133,T1,0.5,NR,R,1468,loc2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,5,133,T1,0.5,NR,R,1468,loc3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,5,133,T1,0.5,NR,R,1468,loc4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,5,133,T1,1,C,L,1469,loc1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,5,133,T1,1,C,L,1469,loc2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
